year,city,country,avg_temp,global_year,global_avg_temp
1849,Oakland,United States,14.12,1849,7.98
1850,Oakland,United States,13.80,1850,7.90
1851,Oakland,United States,14.39,1851,8.18
1852,Oakland,United States,13.81,1852,8.10
1853,Oakland,United States,14.40,1853,8.04
1854,Oakland,United States,13.98,1854,8.21
1855,Oakland,United States,14.20,1855,8.11
1856,Oakland,United States,14.10,1856,8.00
1857,Oakland,United States,14.78,1857,7.76
1858,Oakland,United States,14.19,1858,8.10
1859,Oakland,United States,13.71,1859,8.25
1860,Oakland,United States,13.81,1860,7.96
1861,Oakland,United States,14.88,1861,7.85
1862,Oakland,United States,14.43,1862,7.56
1863,Oakland,United States,14.43,1863,8.11
1864,Oakland,United States,15.18,1864,7.98
1865,Oakland,United States,14.32,1865,8.18
1866,Oakland,United States,14.67,1866,8.29
1867,Oakland,United States,14.46,1867,8.44
1868,Oakland,United States,14.25,1868,8.25
1869,Oakland,United States,14.57,1869,8.43
1870,Oakland,United States,14.19,1870,8.20
1871,Oakland,United States,14.34,1871,8.12
1872,Oakland,United States,14.63,1872,8.19
1873,Oakland,United States,14.46,1873,8.35
1874,Oakland,United States,14.09,1874,8.43
1875,Oakland,United States,14.76,1875,7.86
1876,Oakland,United States,14.44,1876,8.08
1877,Oakland,United States,15.03,1877,8.54
1878,Oakland,United States,14.37,1878,8.83
1879,Oakland,United States,14.20,1879,8.17
1880,Oakland,United States,13.22,1880,8.12
1881,Oakland,United States,14.39,1881,8.27
1882,Oakland,United States,13.58,1882,8.13
1883,Oakland,United States,13.93,1883,7.98
1884,Oakland,United States,14.05,1884,7.77
1885,Oakland,United States,15.05,1885,7.92
1886,Oakland,United States,14.58,1886,7.95
1887,Oakland,United States,14.38,1887,7.91
1888,Oakland,United States,14.70,1888,8.09
1889,Oakland,United States,14.81,1889,8.32
1890,Oakland,United States,14.05,1890,7.97
1891,Oakland,United States,14.46,1891,8.02
1892,Oakland,United States,14.05,1892,8.07
1893,Oakland,United States,13.40,1893,8.06
1894,Oakland,United States,13.80,1894,8.16
1895,Oakland,United States,13.95,1895,8.15
1896,Oakland,United States,14.22,1896,8.21
1897,Oakland,United States,13.81,1897,8.29
1898,Oakland,United States,13.77,1898,8.18
1899,Oakland,United States,14.04,1899,8.40
1900,Oakland,United States,14.64,1900,8.50
1901,Oakland,United States,14.34,1901,8.54
1902,Oakland,United States,14.07,1902,8.30
1903,Oakland,United States,14.12,1903,8.22
1904,Oakland,United States,14.50,1904,8.09
1905,Oakland,United States,14.39,1905,8.23
1906,Oakland,United States,14.81,1906,8.38
1907,Oakland,United States,14.34,1907,7.95
1908,Oakland,United States,14.01,1908,8.19
1909,Oakland,United States,14.05,1909,8.18
1910,Oakland,United States,14.17,1910,8.22
1911,Oakland,United States,13.46,1911,8.18
1912,Oakland,United States,13.95,1912,8.17
1913,Oakland,United States,14.38,1913,8.30
1914,Oakland,United States,14.33,1914,8.59
1915,Oakland,United States,14.30,1915,8.59
1916,Oakland,United States,13.61,1916,8.23
1917,Oakland,United States,14.06,1917,8.02
1918,Oakland,United States,14.14,1918,8.13
1919,Oakland,United States,13.60,1919,8.38
1920,Oakland,United States,13.72,1920,8.36
1921,Oakland,United States,14.24,1921,8.57
1922,Oakland,United States,13.61,1922,8.41
1923,Oakland,United States,14.13,1923,8.42
1924,Oakland,United States,14.10,1924,8.51
1925,Oakland,United States,14.34,1925,8.53
1926,Oakland,United States,15.14,1926,8.73
1927,Oakland,United States,14.24,1927,8.52
1928,Oakland,United States,14.32,1928,8.63
1929,Oakland,United States,14.25,1929,8.24
1930,Oakland,United States,14.25,1930,8.63
1931,Oakland,United States,14.93,1931,8.72
1932,Oakland,United States,14.24,1932,8.71
1933,Oakland,United States,13.93,1933,8.34
1934,Oakland,United States,15.31,1934,8.63
1935,Oakland,United States,14.12,1935,8.52
1936,Oakland,United States,15.13,1936,8.55
1937,Oakland,United States,14.36,1937,8.70
1938,Oakland,United States,14.35,1938,8.86
1939,Oakland,United States,14.81,1939,8.76
1940,Oakland,United States,15.12,1940,8.76
1941,Oakland,United States,14.98,1941,8.77
1942,Oakland,United States,14.20,1942,8.73
1943,Oakland,United States,14.72,1943,8.76
1944,Oakland,United States,14.17,1944,8.85
1945,Oakland,United States,14.41,1945,8.58
1946,Oakland,United States,13.83,1946,8.68
1947,Oakland,United States,14.51,1947,8.80
1948,Oakland,United States,13.65,1948,8.75
1949,Oakland,United States,13.90,1949,8.59
1950,Oakland,United States,14.66,1950,8.37
1951,Oakland,United States,14.06,1951,8.63
1952,Oakland,United States,14.11,1952,8.64
1953,Oakland,United States,14.42,1953,8.87
1954,Oakland,United States,14.18,1954,8.56
1955,Oakland,United States,13.74,1955,8.63
1956,Oakland,United States,14.08,1956,8.28
1957,Oakland,United States,14.59,1957,8.73
1958,Oakland,United States,15.41,1958,8.77
1959,Oakland,United States,15.39,1959,8.73
1960,Oakland,United States,14.59,1960,8.58
1961,Oakland,United States,14.65,1961,8.80
1962,Oakland,United States,14.22,1962,8.75
1963,Oakland,United States,14.19,1963,8.86
1964,Oakland,United States,14.24,1964,8.41
1965,Oakland,United States,14.14,1965,8.53
1966,Oakland,United States,14.74,1966,8.60
1967,Oakland,United States,14.50,1967,8.70
1968,Oakland,United States,14.66,1968,8.52
1969,Oakland,United States,14.51,1969,8.60
1970,Oakland,United States,14.76,1970,8.70
1971,Oakland,United States,13.89,1971,8.60
1972,Oakland,United States,14.25,1972,8.50
1973,Oakland,United States,14.58,1973,8.95
1974,Oakland,United States,14.41,1974,8.47
1975,Oakland,United States,13.82,1975,8.74
1976,Oakland,United States,14.72,1976,8.35
1977,Oakland,United States,14.63,1977,8.85
1978,Oakland,United States,14.96,1978,8.69
1979,Oakland,United States,14.99,1979,8.73
1980,Oakland,United States,14.74,1980,8.98
1981,Oakland,United States,15.22,1981,9.17
1982,Oakland,United States,14.00,1982,8.64
1983,Oakland,United States,15.07,1983,9.03
1984,Oakland,United States,14.97,1984,8.69
1985,Oakland,United States,14.23,1985,8.66
1986,Oakland,United States,15.00,1986,8.83
1987,Oakland,United States,14.95,1987,8.99
1988,Oakland,United States,15.08,1988,9.20
1989,Oakland,United States,14.45,1989,8.92
1990,Oakland,United States,14.73,1990,9.23
1991,Oakland,United States,14.50,1991,9.18
1992,Oakland,United States,15.53,1992,8.84
1993,Oakland,United States,14.97,1993,8.87
1994,Oakland,United States,14.21,1994,9.04
1995,Oakland,United States,15.31,1995,9.35
1996,Oakland,United States,15.56,1996,9.04
1997,Oakland,United States,15.75,1997,9.20
1998,Oakland,United States,14.38,1998,9.52
1999,Oakland,United States,14.41,1999,9.29
2000,Oakland,United States,15.02,2000,9.20
2001,Oakland,United States,15.25,2001,9.41
2002,Oakland,United States,15.00,2002,9.57
2003,Oakland,United States,15.43,2003,9.53
2004,Oakland,United States,15.37,2004,9.32
2005,Oakland,United States,15.17,2005,9.70
2006,Oakland,United States,15.02,2006,9.53
2007,Oakland,United States,14.94,2007,9.73
2008,Oakland,United States,15.05,2008,9.43
2009,Oakland,United States,15.02,2009,9.51
2010,Oakland,United States,14.67,2010,9.70
2011,Oakland,United States,14.50,2011,9.52
2012,Oakland,United States,15.05,2012,9.51
2013,Oakland,United States,16.23,2013,9.61
